Dep.,code,ColorT1,Color_hachT1,Abs_Commune
17,17140,orange,hach_bleuemarine,51.8
17,17146,orange,hach_bleuemarine,50.9
17,17155,bleuemarine,hach_orange,51.1
17,17171,bleuemarine,hach_orange,50.6
17,17174,orange,hach_bleuemarine,57.8
17,17151,orange,hach_bleuemarine,55.2
17,17486,orange,hach_bleuemarine,41.2
17,17112,orange,hach_bleuemarine,50.4
17,17184,bleuemarine,hach_orange,49.9
17,17452,orange,hach_bleuemarine,47
17,17455,bleuemarine,hach_orange,56.8
17,17093,orange,hach_bleuemarine,54.8
17,17097,orange,hach_bleuemarine,50.3
17,17485,orange,hach_bleuemarine,47.5
17,17185,bleuemarine,hach_orange,53.2
17,17154,orange,hach_bleuemarine,55
17,17225,bleuemarine,hach_orange,47.9
17,17214,bleuemarine,hach_orange,58
17,17216,orange,hach_bleuemarine,58.1
17,17219,bleuemarine,hach_orange,55.9
17,17228,bleuemarine,hach_orange,49.8
17,17237,bleuemarine,hach_orange,48
17,17246,bleuemarine,hach_orange,50.4
17,17247,orange,hach_bleuemarine,45.8
17,17253,bleuemarine,hach_orange,56.6
17,17255,bleuemarine,hach_orange,49.1
17,17265,bleuemarine,hach_orange,50.8
17,17278,bleuemarine,hach_orange,49.4
17,17280,bleuemarine,hach_orange,48.5
17,17284,bleuemarine,hach_orange,50.7
17,17285,orange,hach_bleuemarine,46.8
17,17484,bleuemarine,hach_orange,45
17,17302,bleuemarine,hach_orange,48.9
17,17306,orange,hach_bleuemarine,52.3
17,17307,bleuemarine,hach_orange,56.2
17,17308,bleuemarine,hach_orange,48.6
17,17311,orange,hach_bleuemarine,51.2
17,17320,bleuemarine,hach_orange,55.8
17,17323,orange,hach_bleuemarine,48.4
17,17329,bleuemarine,hach_orange,47
17,17337,orange,hach_bleuemarine,47.2
17,17346,bleuemarine,hach_orange,53
17,17348,bleuemarine,hach_orange,49.1
17,17351,bleuemarine,hach_orange,54.7
17,17375,bleuemarine,hach_orange,49.6
17,17380,orange,hach_bleuemarine,44.3
17,17385,orange,hach_bleuemarine,51
17,17387,bleuemarine,hach_orange,46.9
17,17393,bleuemarine,hach_orange,55.8
17,17406,bleuemarine,hach_orange,45
17,17408,bleuemarine,hach_orange,53.1
17,17409,orange,hach_bleuemarine,52.3
17,17411,orange,hach_bleuemarine,48.1
17,17330,bleuemarine,hach_orange,54.8
17,17389,bleuemarine,hach_orange,47.8
17,17421,bleuemarine,hach_orange,47.3
17,17429,orange,hach_bleuemarine,46.2
17,17431,orange,hach_bleuemarine,48.9
17,17445,bleuemarine,hach_orange,48.9
17,17449,orange,hach_bleuemarine,55.1
17,17453,bleuemarine,hach_orange,50.5
17,17461,orange,hach_bleuemarine,44.2
24,24010,rouge,hach_orange,45.2
24,24029,rouge,hach_orange,47.5
24,24032,rouge,hach_orange,39.9
24,24059,rouge,hach_orange,47.2
24,24098,orange,hach_rouge,43.4
24,24102,rouge,hach_orange,46.7
24,24104,rouge,hach_orange,44.7
24,24115,rouge,hach_orange,48.8
24,24138,rouge,hach_orange,52.9
24,24139,rouge,hach_orange,45.2
24,24157,rouge,hach_orange,46.6
24,24159,rouge,hach_orange,46.6
24,24165,rouge,hach_orange,49.2
24,24205,rouge,hach_orange,45.2
24,24213,rouge,hach_orange,45.3
24,24108,orange,hach_rouge,46.7
24,24329,rouge,hach_orange,53.4
24,24236,rouge,hach_orange,51.7
24,24251,rouge,hach_orange,36.2
24,24256,rouge,hach_orange,52.1
24,24264,rouge,hach_orange,56.2
24,24266,rouge,hach_orange,46.9
24,24294,orange,hach_rouge,53.6
24,24295,rouge,hach_orange,44.7
24,24299,rouge,hach_orange,52.2
24,24309,rouge,hach_orange,46.5
24,24322,orange,hach_rouge,50.1
24,24350,rouge,hach_orange,49.7
24,24367,rouge,hach_orange,45.3
24,24371,rouge,hach_orange,44.2
24,24372,rouge,hach_orange,47.1
24,24380,rouge,hach_orange,48.7
24,24399,rouge,hach_orange,48.2
24,24409,rouge,hach_orange,43.3
24,24418,rouge,hach_orange,40.1
24,24424,orange,hach_rouge,32.4
24,24436,orange,hach_rouge,51
24,24442,rouge,hach_orange,47.5
24,24444,rouge,hach_orange,42
24,24449,rouge,hach_orange,48.6
24,24457,rouge,hach_orange,30
24,24462,rouge,hach_orange,46.5
24,24465,rouge,hach_orange,47.6
24,24500,orange,hach_rouge,41.9
