Dep.,code,ColorT1,Color_hachT1,Abs_Commune
17,17108,orange,hach_bleuemarine,44.8
17,17109,orange,hach_rouge,43.6
17,17110,bleuemarine,hach_rouge,47.3
17,17111,orange,hach_bleuemarine,53.2
17,17112,bleuemarine,hach_orange,54.2
17,17113,bleuemarine,hach_orange,51.3
17,17114,bleue,hach_rouge,34
17,17115,rouge,hach_bleuemarine,38.2
17,17116,bleue,hach_orange,45.3
17,17117,orange,hach_bleuemarine,47.4
17,17118,bleuemarine,hach_rouge,54
17,17119,bleuemarine,hach_orange,50.6
17,17120,bleuemarine,hach_orange,49.2
17,17121,rose,hach_orange,41.4
17,17122,orange,hach_bleuemarine,51.3
17,17124,bleuemarine,hach_orange,54.3
17,17125,bleuemarine,hach_orange,45.4
17,17126,bleuemarine,hach_orange,41.2
17,17127,rouge,hach_orange,52.6
17,17128,orange,hach_rouge,47
17,17129,bleuemarine,hach_orange,48.1
17,17130,bleuemarine,hach_orange,49.2
17,17131,bleue,hach_bleuemarine,47.7
17,17132,rouge,hach_bleuemarine,53.1
17,17133,bleuemarine,hach_bleue,46.1
17,17134,rouge,hach_orange,42.9
17,17135,rouge,hach_bleuemarine,52.6
17,17136,rouge,hach_orange,51.2
17,17137,bleuemarine,hach_rouge,45.9
17,17138,orange,hach_bleuemarine,46.2
17,17139,orange,hach_bleuemarine,56.8
17,17140,rouge,hach_bleuemarine,49.2
17,17141,orange,hach_bleuemarine,49.6
17,17142,rose,hach_orange,50.6
17,17143,rouge,hach_bleuemarine,45.4
17,17145,orange,hach_rouge,54.6
17,17146,bleuemarine,hach_orange,50.8
17,17147,bleuemarine,hach_rouge,51.2
17,17148,rouge,hach_bleuemarine,44.5
17,17149,orange,hach_bleuemarine,48.7
17,17150,bleuemarine,hach_orange,57.7
17,17151,bleuemarine,hach_orange,57.4
17,17152,bleue,hach_bleuemarine,45.8
17,17153,rose,hach_verte,49.7
17,17154,rouge,hach_bleuemarine,49.1
17,17155,bleuemarine,hach_orange,50.7
17,17156,bleuemarine,hach_orange,41.9
17,17157,rouge,hach_orange,42.1
17,17158,bleuemarine,hach_rouge,55.4
17,17159,rouge,hach_bleuemarine,50.3
17,17160,bleue,hach_orange,42.7
17,17161,rose,hach_orange,46.1
17,17162,orange,hach_bleuemarine,47.7
17,17163,orange,hach_bleuemarine,47.7
17,17164,orange,hach_rouge,44.6
17,17165,bleuemarine,hach_orange,53.3
17,17166,bleuemarine,hach_orange,48.4
17,17167,bleuemarine,hach_orange,58.4
17,17168,orange,hach_rouge,42.8
17,17171,rouge,hach_bleuemarine,49.8
17,17172,bleuemarine,hach_bleue,50.6
17,17173,bleuemarine,hach_orange,57
17,17174,bleuemarine,hach_rose,52.3
17,17175,orange,hach_bleuemarine,55.1
17,17176,bleuemarine,hach_orange,45.6
17,17177,bleuemarine,hach_rouge,53.4
17,17178,bleuemarine,hach_bleue,37.9
17,17179,orange,hach_bleuemarine,41.7
17,17180,orange,hach_bleuemarine,48.3
17,17181,rouge,hach_bleuemarine,49.8
17,17182,bleuemarine,hach_rouge,53.5
17,17183,bleue,hach_bleuemarine,48.7
17,17184,rouge,hach_bleuemarine,51.8
17,17185,bleuemarine,hach_rose,51.7
17,17186,rouge,hach_bleuemarine,58.9
17,17187,orange,hach_bleuemarine,48.8
17,17188,orange,hach_bleuemarine,46.2
17,17190,rose,hach_orange,43.3
17,17191,bleuemarine,hach_rouge,57.2
17,17192,orange,hach_rouge,45.8
17,17193,orange,hach_rouge,46.2
17,17194,orange,hach_rouge,52.5
17,17195,bleuemarine,hach_orange,48.5
17,17196,bleue,hach_bleuemarine,49
17,17197,orange,hach_rouge,49.6
17,17198,rouge,hach_orange,42.9
17,17199,bleuemarine,hach_orange,47.3
17,17200,rose,hach_orange,46.9
17,17201,rouge,hach_bleuemarine,46.2
17,17202,orange,hach_bleuemarine,41.6
17,17203,rouge,hach_bleuemarine,42.1
17,17204,rouge,hach_orange,50
17,17205,bleuemarine,hach_orange,47.9
17,17206,bleuemarine,hach_orange,51.5
17,17207,rose,hach_orange,36.2
17,17208,bleuemarine,hach_orange,50.1
17,17209,orange,hach_bleuemarine,38.4
17,17210,bleuemarine,hach_orange,53.2
17,17211,bleuemarine,hach_rouge,50.1
17,17212,bleuemarine,hach_orange,50.4
17,17213,orange,hach_bleuemarine,54.7
17,17214,bleuemarine,hach_rose,55
17,17215,bleuemarine,hach_orange,24.3
17,17216,bleuemarine,hach_orange,58.7
17,17217,orange,hach_bleuemarine,49.8
17,17218,orange,hach_bleuemarine,53.8
17,17219,bleuemarine,hach_rose,54.7
17,17220,orange,hach_rouge,49.8
17,17221,rouge,hach_bleuemarine,52.4
17,17222,rose,hach_orange,45.6
17,17223,orange,hach_rouge,54.8
17,17224,orange,hach_bleuemarine,56.2
17,17225,orange,hach_bleuemarine,45.6
17,17226,bleuemarine,hach_orange,51.6
17,17227,bleuemarine,hach_rouge,50.7
17,17228,bleuemarine,hach_orange,50.2
17,17229,bleuemarine,hach_orange,52.9
17,17230,orange,hach_bleuemarine,47.1
17,17231,rouge,hach_bleuemarine,45.3
17,17232,bleuemarine,hach_orange,54
17,17233,orange,hach_bleue,45.4
17,17234,bleuemarine,hach_rouge,48.2
17,17235,bleuemarine,hach_rose,52.8
17,17236,bleuemarine,hach_orange,51
17,17237,bleuemarine,hach_orange,50
17,17239,bleuemarine,hach_orange,50.6
17,17240,orange,hach_rouge,51
17,17241,orange,hach_bleuemarine,53.5
17,17242,rouge,hach_orange,48.5
17,17243,bleuemarine,hach_orange,56.5
17,17244,bleuemarine,hach_bleue,47
17,17245,rouge,hach_orange,50.6
17,17246,rouge,hach_bleuemarine,46.6
17,17247,orange,hach_rose,44.5
17,17248,bleue,hach_rouge,47.6
17,17249,orange,hach_rouge,52.7
17,17250,orange,hach_rouge,55.6
17,17252,bleuemarine,hach_rouge,43.8
17,17253,bleuemarine,hach_rose,58.8
17,17254,orange,hach_rouge,41.7
17,17255,bleuemarine,hach_orange,49.2
17,17256,bleuemarine,hach_orange,52
17,17257,bleuemarine,hach_orange,53.8
17,17258,orange,hach_rouge,56.7
17,17259,orange,hach_bleuemarine,33.6
17,17260,bleuemarine,hach_rouge,52.1
17,17261,bleuemarine,hach_rouge,51.4
17,17262,bleuemarine,hach_orange,49.8
17,17263,bleuemarine,hach_orange,56.4
17,17264,rose,hach_orange,45
17,17265,bleuemarine,hach_rose,50.9
17,17266,bleuemarine,hach_orange,51.6
17,17267,rouge,hach_orange,48.2
